Q6 | 98 | Маркер уничтожен из конечной очереди | 
P6 | 99 | Позиция маркирована | Маркер #49
P5 | 99 | Позиция маркирована | Маркер #49
Q6 | 99 | Маркер уничтожен из конечной очереди | 
Q6 | 100 | Позиция маркирована | Маркер #49
P6 | 100 | Маркер покинул позицию | Маркер #49
P5 | 100 | Маркер покинул позицию | Маркер #49
Q2 | 100 | Позиция маркирована | Маркер #50
Q5 | 100 | Позиция маркирована | Маркер #50
Q6 | 100 | Маркер уничтожен из конечной очереди | 
P6 | 101 | Позиция маркирована | Маркер #50
P5 | 101 | Позиция маркирована | Маркер #50
Q6 | 101 | Маркер уничтожен из конечной очереди | 
Q6 | 102 | Позиция маркирована | Маркер #50
P6 | 102 | Маркер покинул позицию | Маркер #50
P5 | 102 | Маркер покинул позицию | Маркер #50
Q2 | 102 | Позиция маркирована | Маркер #51
Q5 | 102 | Позиция маркирована | Маркер #51
Q6 | 102 | Маркер уничтожен из конечной очереди | 
P6 | 103 | Позиция маркирована | Маркер #51
P5 | 103 | Позиция маркирована | Маркер #51
Q6 | 103 | Маркер уничтожен из конечной очереди | 
Q6 | 104 | Позиция маркирована | Маркер #51
P6 | 104 | Маркер покинул позицию | Маркер #51
P5 | 104 | Маркер покинул позицию | Маркер #51
Q2 | 104 | Позиция маркирована | Маркер #52
Q5 | 104 | Позиция маркирована | Маркер #52
Q6 | 104 | Маркер уничтожен из конечной очереди | 
P6 | 105 | Позиция маркирована | Маркер #52
P5 | 105 | Позиция маркирована | Маркер #52
Q6 | 105 | Маркер уничтожен из конечной очереди | 
Q6 | 106 | Позиция маркирована | Маркер #52
P6 | 106 | Маркер покинул позицию | Маркер #52
P5 | 106 | Маркер покинул позицию | Маркер #52
Q2 | 106 | Позиция маркирована | Маркер #53
Q5 | 106 | Позиция маркирована | Маркер #53
Q6 | 106 | Маркер уничтожен из конечной очереди | 
P6 | 107 | Позиция маркирована | Маркер #53
P5 | 107 | Позиция маркирована | Маркер #53
Q6 | 107 | Маркер уничтожен из конечной очереди | 
Q6 | 108 | Позиция маркирована | Маркер #53
P6 | 108 | Маркер покинул позицию | Маркер #53
P5 | 108 | Маркер покинул позицию | Маркер #53
Q2 | 108 | Позиция маркирована | Маркер #54
Q5 | 108 | Позиция маркирована | Маркер #54
Q6 | 108 | Маркер уничтожен из конечной очереди | 
P6 | 109 | Позиция маркирована | Маркер #54
P5 | 109 | Позиция маркирована | Маркер #54
Q6 | 109 | Маркер уничтожен из конечной очереди | 
Q6 | 110 | Позиция маркирована | Маркер #54
P6 | 110 | Маркер покинул позицию | Маркер #54
P5 | 110 | Маркер покинул позицию | Маркер #54
Q2 | 110 | Позиция маркирована | Маркер #55
Q5 | 110 | Позиция маркирована | Маркер #55
Q6 | 110 | Маркер уничтожен из конечной очереди | 
P6 | 111 | Позиция маркирована | Маркер #55
P5 | 111 | Позиция маркирована | Маркер #55
Q6 | 111 | Маркер уничтожен из конечной очереди | 
Q6 | 112 | Позиция маркирована | Маркер #55
P6 | 112 | Маркер покинул позицию | Маркер #55
P5 | 112 | Маркер покинул позицию | Маркер #55
Q2 | 112 | Позиция маркирована | Маркер #56
Q5 | 112 | Позиция маркирована | Маркер #56
Q6 | 112 | Маркер уничтожен из конечной очереди | 
P6 | 113 | Позиция маркирована | Маркер #56
P5 | 113 | Позиция маркирована | Маркер #56
Q6 | 113 | Маркер уничтожен из конечной очереди | 
Q6 | 114 | Позиция маркирована | Маркер #56
P6 | 114 | Маркер покинул позицию | Маркер #56
P5 | 114 | Маркер покинул позицию | Маркер #56
Q2 | 114 | Позиция маркирована | Маркер #57
Q5 | 114 | Позиция маркирована | Маркер #57
Q6 | 114 | Маркер уничтожен из конечной очереди | 
P6 | 115 | Позиция маркирована | Маркер #57
P5 | 115 | Позиция маркирована | Маркер #57
Q6 | 115 | Маркер уничтожен из конечной очереди | 
Q6 | 116 | Позиция маркирована | Маркер #57
P6 | 116 | Маркер покинул позицию | Маркер #57
P5 | 116 | Маркер покинул позицию | Маркер #57
Q2 | 116 | Позиция маркирована | Маркер #58
Q5 | 116 | Позиция маркирована | Маркер #58
Q6 | 116 | Маркер уничтожен из конечной очереди | 
P6 | 117 | Позиция маркирована | Маркер #58
P5 | 117 | Позиция маркирована | Маркер #58
Q6 | 117 | Маркер уничтожен из конечной очереди | 
Q6 | 118 | Позиция маркирована | Маркер #58
P6 | 118 | Маркер покинул позицию | Маркер #58
P5 | 118 | Маркер покинул позицию | Маркер #58
Q2 | 118 | Позиция маркирована | Маркер #59
Q5 | 118 | Позиция маркирована | Маркер #59
Q6 | 118 | Маркер уничтожен из конечной очереди | 
P6 | 119 | Позиция маркирована | Маркер #59
P5 | 119 | Позиция маркирована | Маркер #59
Q6 | 119 | Маркер уничтожен из конечной очереди | 
Q6 | 120 | Позиция маркирована | Маркер #59
P6 | 120 | Маркер покинул позицию | Маркер #59
P5 | 120 | Маркер покинул позицию | Маркер #59
Q2 | 120 | Позиция маркирована | Маркер #60
Q5 | 120 | Позиция маркирована | Маркер #60
Q6 | 120 | Маркер уничтожен из конечной очереди | 
P6 | 121 | Позиция маркирована | Маркер #60
P5 | 121 | Позиция маркирована | Маркер #60
Q6 | 121 | Маркер уничтожен из конечной очереди | 
Q6 | 122 | Позиция маркирована | Маркер #60
P6 | 122 | Маркер покинул позицию | Маркер #60
P5 | 122 | Маркер покинул позицию | Маркер #60
Q2 | 122 | Позиция маркирована | Маркер #61
Q5 | 122 | Позиция маркирована | Маркер #61
Q6 | 122 | Маркер уничтожен из конечной очереди | 
