Log started 18.06.2017-18_16_47
####################################################
T2 - T | 41 | Переход завершил работу | Маркер #20
T1 - F | 41 | Маркер иниц. срабатывание перехода | Маркер #21
T5 - J | 41 | Маркер иниц. срабатывание перехода | Маркер #20
Q6 | 41 | Маркер уничтожен из конечной очереди | 
Q6 | 42 | Позиция маркирована | Маркер #20
P6 | 42 | Маркер покинул позицию | Маркер #20
P5 | 42 | Маркер покинул позицию | Маркер #20
T5 - J | 42 | Переход завершил работу | Маркер #20
G1 | 42 | Маркер покинул генератор | Маркер #21
Q2 | 42 | Позиция маркирована | Маркер #21
Q5 | 42 | Позиция маркирована | Маркер #21
T1 - F | 42 | Переход завершил работу | Маркер #21
T2 - T | 42 | Маркер иниц. срабатывание перехода | Маркер #21
T4 - T | 42 | Маркер иниц. срабатывание перехода | Маркер #21
Q6 | 42 | Маркер уничтожен из конечной очереди | 
G1 | 43 | Сгенерирован маркер | Маркер #22
Q5 | 43 | Маркер покинул очередь | Маркер #21
P6 | 43 | Позиция маркирована | Маркер #21
T4 - T | 43 | Переход завершил работу | Маркер #21
Q2 | 43 | Маркер покинул очередь | Маркер #21
P5 | 43 | Позиция маркирована | Маркер #21
T2 - T | 43 | Переход завершил работу | Маркер #21
T1 - F | 43 | Маркер иниц. срабатывание перехода | Маркер #22
T5 - J | 43 | Маркер иниц. срабатывание перехода | Маркер #21
Q6 | 43 | Маркер уничтожен из конечной очереди | 
Q6 | 44 | Позиция маркирована | Маркер #21
P6 | 44 | Маркер покинул позицию | Маркер #21
P5 | 44 | Маркер покинул позицию | Маркер #21
T5 - J | 44 | Переход завершил работу | Маркер #21
G1 | 44 | Маркер покинул генератор | Маркер #22
Q2 | 44 | Позиция маркирована | Маркер #22
Q5 | 44 | Позиция маркирована | Маркер #22
T1 - F | 44 | Переход завершил работу | Маркер #22
T2 - T | 44 | Маркер иниц. срабатывание перехода | Маркер #22
T4 - T | 44 | Маркер иниц. срабатывание перехода | Маркер #22
Q6 | 44 | Маркер уничтожен из конечной очереди | 
G1 | 45 | Сгенерирован маркер | Маркер #23
Q5 | 45 | Маркер покинул очередь | Маркер #22
P6 | 45 | Позиция маркирована | Маркер #22
T4 - T | 45 | Переход завершил работу | Маркер #22
Q2 | 45 | Маркер покинул очередь | Маркер #22
P5 | 45 | Позиция маркирована | Маркер #22
T2 - T | 45 | Переход завершил работу | Маркер #22
T1 - F | 45 | Маркер иниц. срабатывание перехода | Маркер #23
T5 - J | 45 | Маркер иниц. срабатывание перехода | Маркер #22
Q6 | 45 | Маркер уничтожен из конечной очереди | 
Q6 | 46 | Позиция маркирована | Маркер #22
P6 | 46 | Маркер покинул позицию | Маркер #22
P5 | 46 | Маркер покинул позицию | Маркер #22
T5 - J | 46 | Переход завершил работу | Маркер #22
G1 | 46 | Маркер покинул генератор | Маркер #23
Q2 | 46 | Позиция маркирована | Маркер #23
Q5 | 46 | Позиция маркирована | Маркер #23
T1 - F | 46 | Переход завершил работу | Маркер #23
T2 - T | 46 | Маркер иниц. срабатывание перехода | Маркер #23
T4 - T | 46 | Маркер иниц. срабатывание перехода | Маркер #23
Q6 | 46 | Маркер уничтожен из конечной очереди | 
G1 | 47 | Сгенерирован маркер | Маркер #24
Q5 | 47 | Маркер покинул очередь | Маркер #23
P6 | 47 | Позиция маркирована | Маркер #23
T4 - T | 47 | Переход завершил работу | Маркер #23
Q2 | 47 | Маркер покинул очередь | Маркер #23
P5 | 47 | Позиция маркирована | Маркер #23
T2 - T | 47 | Переход завершил работу | Маркер #23
T1 - F | 47 | Маркер иниц. срабатывание перехода | Маркер #24
T5 - J | 47 | Маркер иниц. срабатывание перехода | Маркер #23
Q6 | 47 | Маркер уничтожен из конечной очереди | 
Q6 | 48 | Позиция маркирована | Маркер #23
P6 | 48 | Маркер покинул позицию | Маркер #23
P5 | 48 | Маркер покинул позицию | Маркер #23
T5 - J | 48 | Переход завершил работу | Маркер #23
G1 | 48 | Маркер покинул генератор | Маркер #24
Q2 | 48 | Позиция маркирована | Маркер #24
Q5 | 48 | Позиция маркирована | Маркер #24
T1 - F | 48 | Переход завершил работу | Маркер #24
T2 - T | 48 | Маркер иниц. срабатывание перехода | Маркер #24
T4 - T | 48 | Маркер иниц. срабатывание перехода | Маркер #24
Q6 | 48 | Маркер уничтожен из конечной очереди | 
G1 | 49 | Сгенерирован маркер | Маркер #25
Q5 | 49 | Маркер покинул очередь | Маркер #24
P6 | 49 | Позиция маркирована | Маркер #24
T4 - T | 49 | Переход завершил работу | Маркер #24
Q2 | 49 | Маркер покинул очередь | Маркер #24
P5 | 49 | Позиция маркирована | Маркер #24
T2 - T | 49 | Переход завершил работу | Маркер #24
T1 - F | 49 | Маркер иниц. срабатывание перехода | Маркер #25
T5 - J | 49 | Маркер иниц. срабатывание перехода | Маркер #24
